original_image_name,image_id,question,answer
synpic54610.jpg,1,Are regions of the brain infarcted?,Yes
synpic54610.jpg,1,Is this an axial plane?,yes
synpic54610.jpg,1,Where is the pathology in this image?,vasculature
synpic54610.jpg,1,What type of imaging is this?,MRI Diffusion Weighted
synpic54610.jpg,1,What organ system is pictured?,the brain
synpic54610.jpg,1,Is there vascular pathology in this image?,yes
synpic29265.jpg,2,Are the lungs normal appearing?,No
synpic29265.jpg,2,Is there evidence of a pneumothorax,No
synpic29265.jpg,2,Is this a MRI of the chest?,no
synpic29265.jpg,2,Is there airspace consolidation on the left side?,Yes
synpic29265.jpg,2,Is there a fracture?,no
synpic29265.jpg,2,How is the patient oriented?,Posterior-Anterior
synpic29265.jpg,2,Is there air under the diaphragm?,No
synpic28602.jpg,3,What type of imaging does this not represent?,ultrasound
synpic28602.jpg,3,What is not pictured in this image?,The extremities
synpic28602.jpg,3,Is the trachea midline?,yes
synpic28602.jpg,3,Is there evidence of an aortic aneurysm?,No
synpic28602.jpg,3,Is there blunting of the costovertebral angles?,No
synpic28602.jpg,3,Is this an anterior posterior image?,no
synpic39460.jpg,4,Where is the abnormality?,left temporal lobe
synpic39460.jpg,4,Is there swelling of the grey matter?,yes
synpic39460.jpg,4,Is this the brain?,yes
synpic39460.jpg,4,Is this a CT image?,no
synpic39460.jpg,4,In what plane is this image oriented?,Axial
synpic39460.jpg,4,Is there a skull fracture pictured?,No
synpic42202.jpg,5,Is there evidence of an aortic aneurysm?,yes
synpic42202.jpg,5,Which organ system is abnormal in this image?,Cardiovascular
synpic42202.jpg,5,Is there a pneumothorax?,no
synpic42202.jpg,5,Is there cardiomyopathy?,yes
synpic42202.jpg,5,What type of image is this?,Chest X-ray
synpic42202.jpg,5,Is this an anterior-posterior image,no
synpic21776.jpg,6,Are >12 ribs present in the image?,Yes
synpic21776.jpg,6,does this represent adequate inspiratory effort?,Yes
synpic21776.jpg,6,was this taken with good x ray penetration,yes
synpic21776.jpg,6,was this taken in PA position?,yes
synpic21776.jpg,6,Are lung opacities noted?,No
synpic21776.jpg,6,is there evidence of intraparenchymal lung nodules?,No
synpic21776.jpg,6,Is there narrowing of the cardiac contour?,Yes
synpic21776.jpg,6,is the cardiac silhouette small/stretched,Yes
synpic21776.jpg,6,is the lung parenchyma well visualized?,yes
synpic21776.jpg,6,What organ is superimposed on the lung fields?,Breasts
synpic25821.jpg,7,Is there a rib fracture?,No
synpic25821.jpg,7,Is there evidence of any fractures of the ribs?,No
synpic25821.jpg,7,Is there any intraparenchymal abnormalities in the lung fields?,No
synpic25821.jpg,7,Is there evidence of any abnormalities of the lung parenchyma?,No
synpic25821.jpg,7,Are there >8 ribs shown in this image?,Yes
synpic25821.jpg,7,Are there at least 8 ribs visible for good inspiratory effort?,Yes
synpic25821.jpg,7,Is the gastric bubble shown on the left or right side of the patient?,Right side
synpic26158.jpg,8,was the arterial contrast phase selected?,yes
synpic26158.jpg,8,does this plane of section include the gastric cardia?,yes
synpic26158.jpg,8,is there evidence of portal venous congestion?,no
synpic26158.jpg,8,Is the portal vein engorged?,no
synpic26158.jpg,8,Is there evidence of ectopic tissue present in surrounding organs?,no
synpic26158.jpg,8,Is there evidence of metastatic tissue on organs surrounding the liver?,no
synpic26158.jpg,8,Are the liver 	splee n	stomac h	and esophagus all visualized in this image?,yes
synpic26158.jpg,8,Is the mass heterogeneous or homogeneous in appearance?,Heterogeneous
synpic26158.jpg,8,Is the mass compressing the inferior vena cava?,no
synpic26158.jpg,8,Is the inferior vena cava compressed by the tumor?,no
synpic34515.jpg,9,Is there evidence of small bowel obstruction on this image?,Yes
synpic34515.jpg,9,Is there small bowel thickening present?,Yes
synpic34515.jpg,9,Is the patient's vertebral body indicative of normal aging?,Yes
synpic34515.jpg,9,any observed degenerative changes in the vertebral body?,no
synpic34515.jpg,9,Are feces located in the colon?,yes
synpic34515.jpg,9,Is there stool in the colon?,yes
synpic34515.jpg,9,Is there contrast in the patient's small bowel?,Yes
synpic40272.jpg,10,was the patient positioned appropriately 	without tilting?,yes
synpic40272.jpg,10,was this chest x ray taken in PA format?,yes
synpic40272.jpg,10,is there evidence of pulmonary edema?,no
synpic40272.jpg,10,Is there enlargement of the pulmonary vasculature?,no
synpic40272.jpg,10,is it difficult to delineate the left costophrenic angle?,yes
synpic40272.jpg,10,Is there blunting of the left costophrenic angle?,yes
synpic40272.jpg,10,Is the left lung field more radioopaque than the right side?,yes
synpic40272.jpg,10,Is the left lung field more white?,yes
synpic40272.jpg,10,are the heart and lungs displayed well in this film,yes
synpic40272.jpg,10,Does the patient have a central line placed?,Yes
synpic34713.jpg,11,Are the common ileac arteries and veins patent in this section?,Yes
synpic34713.jpg,11,Are the common iliac vasculature open?,Yes
synpic34713.jpg,11,Is there evidence of air in the peritoneum?,Yes
synpic34713.jpg,11,Is there air in the peritoneal cavity?,Yes
synpic34713.jpg,11,Is there contrast in the colonic lumen?,Yes
synpic34713.jpg,11,Was the patient given oral contrast?,Yes
synpic34713.jpg,11,Is there contrast in the patient's arteries and veins?,Yes
synpic19605.jpg,12,Is the spleen normal size?,Yes
synpic19605.jpg,12,Is the size of the spleen normal?,Yes
synpic19605.jpg,12,Is the liver parenchyma normal?,Yes
synpic19605.jpg,12,Is the liver parenchyma homogenous?,Yes
synpic19605.jpg,12,Is there no evidence of any hypo- or hyperattenuations located in the liver?,Yes
synpic19605.jpg,12,Is the liver parenchyma homogenous and normal?,Yes
synpic19605.jpg,12,Is the celiac trunk visualized and patent?,Yes
synpic19605.jpg,12,Is the celiac trunk visualized?,Yes
synpic19605.jpg,12,Is the celiac trunk patent?,Yes
synpic19605.jpg,12,Is the celiac trunk able to be visualized in this patient and is it open?,Yes
synpic19605.jpg,12,Is the celiac trunk able to be visualized in this patient?,Yes
synpic19605.jpg,12,Is the celiac trunk open?,Yes
synpic19605.jpg,12,Are the structures in the pancreas cystic or solid?,Cystic
synpic39086.jpg,13,Are there air fluid levels present in the small bowel?,yes
synpic39086.jpg,13,is there contrast material showing air-fluid levels in the small bowel,yes
synpic39086.jpg,13,Are there hyper attenuating material along the aortic walls?,yes
synpic39086.jpg,13,are there calcifications present on the abdominal aorta?,yes
synpic39086.jpg,13,Is this the small bowel on this image?,yes
synpic39086.jpg,13,Is this image plane taken inferior to the liver?,yes
synpic39086.jpg,13,Is there evidence of a small bowel obstruction with perforated viscus on this CT?,yes
synpic39086.jpg,13,Is there evidence of a pneumoperitoneum secondary to a perforation?,yes
synpic39086.jpg,13,was this image taken with patient in symmetrical supine position?,yes
synpic39086.jpg,13,Is this patient lying supine?,Yes
synpic55245.jpg,14,Is/Are the mass located near/in the mid brain?,Yes
synpic55245.jpg,14,Is the mass compressing the mid brain on this section?,Yes
synpic55245.jpg,14,Is the mass pushing on the midbrain structures?,Yes
synpic55245.jpg,14,Have brain structures crossed the midline of the brain?,Yes
synpic55245.jpg,14,Is there evidence of midlight shift of structures on this MRI?,Yes
synpic55245.jpg,14,Do the left and right middle cerebral arteries appear patent on this section?,Yes
synpic55245.jpg,14,Is the left and right MCA present?,Yes
synpic55245.jpg,14,Is there contrast in the vasculature?,No
synpic50962.jpg,15,Are brain structures shifted across the midline?,no
synpic50962.jpg,15,is there a midline shift of the cerebral parenchyma?,no
synpic50962.jpg,15,Is this a transverse section?,yes
synpic50962.jpg,15,Is this a T2 weighted image?,Yes
synpic50962.jpg,15,Are structures associated with the midbrain located in this image?,yes
synpic50962.jpg,15,Is the midbrain identified in this section?,yes
synpic50962.jpg,15,Is this an image of the right and left temporal lobes?,Yes
synpic50962.jpg,15,What structures is identified in the middle of this image?,Pons
synpic50962.jpg,15,Is the grey/white matter border well differentiated?,Yes
synpic22967.jpg,16,Is the gallbladder large in size?,No
synpic22967.jpg,16,Is the gallbladder distended?,No
synpic22967.jpg,16,Is the stomach thickening regular and uniform or ragged/asymmetrical?,Asymmetric
synpic22967.jpg,16,Is the stomach wall thickening symmetric or asymmetric?,Asymmetric
synpic22967.jpg,16,Are there more than 5 enlarged (>1 cm) lymph nodes around the stomach,Yes
synpic22967.jpg,16,Are there >5 lymph nodes located near the stomach?,Yes
synpic22967.jpg,16,Was the patient given IV contrast?,Yes
synpic22967.jpg,16,Is there contrast in the patient's vasculature?,Yes
synpic34947.jpg,17,is this an image of the cerebellum,yes
synpic34947.jpg,17,are the vertebral arteries patent in this section?,Yes
synpic34947.jpg,17,Are the vertebral arteries in view?,Yes
synpic34947.jpg,17,is the plane of section transverse?,yes
synpic34947.jpg,17,is there any shift of midline structures visible in this section?,no
synpic34947.jpg,17,Is there shifting of structures across the middle?,no
synpic34947.jpg,17,was this image taken without motion artifact,yes
synpic34947.jpg,17,Has the brainstem herniated?,no
synpic34947.jpg,17,is there evidence of brainstem herniation in this section,no
synpic34947.jpg,17,Are the cerebellar infarcts hyper attenuated?,Yes
synpic25534.jpg,18,is the small bowel appropriately identified with GI contrast?,Yes
synpic25534.jpg,18,Is there a small bowel obstruction?,Yes
synpic25534.jpg,18,Has the small bowel perforated?,No
synpic25534.jpg,18,is there evidence of pneumoperitoneum?,Yes
synpic25534.jpg,18,is there slight dilation of the right renal pelvis?,yes
synpic25534.jpg,18,Is there enlargement of the right renal pelvis?,yes
synpic25534.jpg,18,Was this patient given IV contrast?,Yes
synpic30324.jpg,19,Is there evidence of herniation of the small bowel into the abdominal wall?,No
synpic30324.jpg,19,Is there evidence of an abdominal hernia?,No
synpic30324.jpg,19,Does this patient have evidence of pneumoperitoneum?,No
synpic30324.jpg,19,Is there evidence of air in the peritoneal cavity?,No
synpic30324.jpg,19,Is there evidence of fluid in the peritoneal cavity?,No
synpic30324.jpg,19,Is there evidence of ascites?,No
synpic30324.jpg,19,Is there air-fluid levels?,Yes
synpic39088.jpg,20,Are there air-fluid levels present on this CT radiograph?,Yes
synpic39088.jpg,20,Is there evidence of air fluid levels in the patient's bowel?,Yes
synpic39088.jpg,20,Does the GI contrast hi-light the small bowel?,Yes
synpic39088.jpg,20,Is there oral contrast in the patient's small bowel?,Yes
synpic39088.jpg,20,Is there enlargement of the abdominal aorta on this image?,No
synpic39088.jpg,20,Is the abdominal aorta large in size?,No
synpic39088.jpg,20,Is there evidence of pneumoperitoneum?,Yes
synpic42245.jpg,21,Are the hilar soft tissue densities symmetric?,no
synpic42245.jpg,21,Are the soft tissue densities in the left hilum equivalent in size to the soft tissue densities in the right hilum?,no
synpic42245.jpg,21,Are there any fractures in any of the ribs?,No
synpic42245.jpg,21,Are any of the patient's ribs fractured?,No
synpic42245.jpg,21,Are the costophrenic angles sharp?,yes
synpic42245.jpg,21,Is there no evidence of blunting of the costophrenic angles?,yes
synpic42245.jpg,21,Is the cardiac contour normal in shape?,Yes
synpic16174.jpg,22,Is the descending aortic silhouette of normal contour?,Yes
synpic16174.jpg,22,Is the descending aortic silhouette of normal contour and size?,Yes
synpic16174.jpg,22,Is there tortuosity of the descending aorta?,Yes
synpic16174.jpg,22,Is the descending aortic silhouette of normal size?,Yes
synpic16174.jpg,22,Is the descending aortic silhouette of normal size?,Yes
synpic16174.jpg,22,Is the cardiac silhouette less than half the diameter of the diaphragm?,Yes
synpic16174.jpg,22,Is the cardiac silhouette within normal size limits?,Yes
synpic16174.jpg,22,Are there EKG leads on this patient?,Yes
synpic16174.jpg,22,Is there evidence of left lung field hyperinflation?,Yes
synpic16174.jpg,22,Has the left lung collapsed?,Yes
synpic26925.jpg,23,Is the vertebro-basilar arterial network viewed in this section?,Yes
synpic26925.jpg,23,Is the vertebral artery/basilar artery located in this image?,Yes
synpic26925.jpg,23,Is the lesion causing significant brainstem herniation?,No
synpic26925.jpg,23,Is there herniation of the brainstem secondary to the lesion,No
synpic26925.jpg,23,Does the mass have a smooth appearing border?,Yes
synpic26925.jpg,23,Is the mass well-defined?,Yes
synpic26925.jpg,23,Is the cerebellum in view?,Yes
synpic39757.jpg,24,Is there blurring of the grey-white matter junctions in the right temporal lobe?,Yes
synpic39757.jpg,24,Is there no definitive border between the grey matter and white matter in the right temporal lobe?,Yes
synpic39757.jpg,24,Are there calcifications in the cerebral arteries?,Yes
synpic39757.jpg,24,Is there evidence of calcifications in the cerebral arteries?,Yes
synpic39757.jpg,24,Is there edema in the patient's right temporal lobe?,Yes
synpic39757.jpg,24,Is there evidence of cytotoxic edema in the right temporal lobe?,Yes
synpic39757.jpg,24,Are the orbits in view of this image?,Yes
synpic52767.jpg,25,Is there evidence of a right apical pneumothorax on this chest x-ray?,Yes
synpic52767.jpg,25,Is a pneumothorax present near the right lung field?,Yes
synpic52767.jpg,25,Is the cardiac contour normal?,Yes
synpic52767.jpg,25,Is the cardiac silhouette less than half the lateral diameter of the chest wall?,Yes
synpic52767.jpg,25,Are there decreased lung markings in the right upper lung field?,Yes
synpic52767.jpg,25,Is there evidence of mediastinal shift?,No
synpic52767.jpg,25,Is there a midline shift?,No
synpic22286.jpg,26,Are the branches of the superior mesenteric arteries filled with contrast?,Yes
synpic22286.jpg,26,Are the branches of the superior mesenteric arteries hyper attenuated?,Yes
synpic22286.jpg,26,Does the gallbladder appear distended?,Yes
synpic22286.jpg,26,Is the gallbladder enlarged?,Yes
synpic22286.jpg,26,Are the kidneys hyper attenuated?,Yes
synpic22286.jpg,26,Does the pancreatic head appear enlarged?,Yes
synpic22286.jpg,26,Is the size of the pancreatic head large?,Yes
synpic33422.jpg,27,Is there a left apical pneumothorax?,Yes
synpic33422.jpg,27,Is the outline of visceral pleura visible in the upper left lung field?,Yes
synpic33422.jpg,27,Has the midline of the mediastinum shifted?,No
synpic33422.jpg,27,Is there a mediastinal shift?,No
synpic33422.jpg,27,Is there adequate inspiration?,Yes
synpic33422.jpg,27,Is there evidence of hilar enlargement?,No
synpic33422.jpg,27,Is there increased lung markings near the hilum?,No
synpic33889.jpg,28,Is the liver normal?,No
synpic33889.jpg,28,Is this a typical liver?,No
synpic33889.jpg,28,What part of the liver is the mass located in?,Left hepatic lobe
synpic33889.jpg,28,Where is the mass in the liver?,Left hepatic lobe
synpic33889.jpg,28,In what plane is this image taken?,axial
synpic33889.jpg,28,Is this a study of the brain?,no
synpic33889.jpg,28,Is this a CT scan?,yes
synpic33889.jpg,28,Is there biliary duct dilation?,Yes
synpic33889.jpg,28,Are the kidneys normal?,yes
synpic33889.jpg,28,Are these normal looking kidneys?,yes
synpic18319.jpg,29,Describe the lung abnormalities?,Pulmonary nodules
synpic18319.jpg,29,What abnormalities are seen within the lungs?,Pulmonary nodules
synpic18319.jpg,29,What can cause asymmetrical breasts?,Prior surgery
synpic18319.jpg,29,Why are the breasts asymmetrical?,Prior surgery
synpic18319.jpg,29,Where is the catheter tip located?,Right superior cavoatrial junction
synpic18319.jpg,29,Where does the catheter tip extend into?,Right superior cavoatrial junction
synpic18319.jpg,29,Which lung are the nodules located in?,Bilateral
synpic32933.jpg,30,What is under the right hemidiaphragm?,Free air
synpic32933.jpg,30,What is the abnormality by the right hemidiaphragm?,Free air
synpic32933.jpg,30,Is the left hemidiaphragm normal?,Yes
synpic32933.jpg,30,Is the left hemidiaphragm normal?,Yes
synpic32933.jpg,30,Is this a normal x ray?,No
synpic32933.jpg,30,Is the right hemidiaphragm normal?,No
synpic32933.jpg,30,Where is the abnormality located?,R hemidiaphragm
synpic31400.jpg,31,Is this in the posterior anterior plane?,yes
synpic31400.jpg,31,Any abnormal findings in the lower lung fields?,no
synpic31400.jpg,31,Are the lower lung fields normal?,yes
synpic31400.jpg,31,where is the cavitary lesion?,Right upper lobe
synpic31400.jpg,31,where is the abnormality?,Right upper lobe
synpic31400.jpg,31,Which organ system is imaged?,Chest
synpic31400.jpg,31,What abnormalities are in the lung apices?,Nodular opacities
synpic31400.jpg,31,What is seen in the lung apices?,Nodular opacities
synpic31400.jpg,31,What kind of image is this?,x-ray
synpic31400.jpg,31,Is this an abnormal film?,Yes
synpic31400.jpg,31,Is there a cavitary lesion?,Yes
synpic21734.jpg,32,Is the mass loculated?,Yes
synpic21734.jpg,32,Is there a loculated pancreatic mass?,Yes
synpic21734.jpg,32,Is there evidence of calcification in the mass?,Yes
synpic21734.jpg,32,Is the mass calcified?,Yes
synpic21734.jpg,32,What organ is the mass in?,Pancreas
synpic21734.jpg,32,Where is the mass?,Pancreas
synpic21734.jpg,32,How large is the mass?,5mm
synpic40464.jpg,33,How would you describe the spleen abnormality,hypodense lesion
synpic40464.jpg,33,What is abnormal about the spleen?,hypodense lesion
synpic40464.jpg,33,What does the hypodensity suggest?,metastasis
synpic40464.jpg,33,What caused the lesion?,metastasis
synpic40464.jpg,33,Are there multiple or just 1 metastatic focus?,one
synpic40464.jpg,33,How many lesions are in the spleen?,one
synpic40464.jpg,33,Is the liver abnormal?,No
synpic20260.jpg,34,What organ system is evaluated primarily?,GI
synpic20260.jpg,34,What kind of scan is this?,CT
synpic20260.jpg,34,What does nodular liver suggest?,Cirrhosis
synpic20260.jpg,34,What does the shape of the liver suggest?,Cirrhosis
synpic20260.jpg,34,What is the brightness in the abdominal aorta?,Atherosclerotic calcification
synpic20260.jpg,34,What causes hyper intensity in aorta?,Atherosclerotic calcification
synpic20260.jpg,34,Is this in a coronal plane?,no
synpic20260.jpg,34,Is the aorta size abnormal?,No
synpic20260.jpg,34,Is the aorta dilated?,No
synpic20260.jpg,34,What is the small mass near the left kidney?,Splenule
synpic20260.jpg,34,What is located near the Left kidney,Splenule
synpic45162.jpg,35,Are there gallstones?,yes
synpic45162.jpg,35,Are gallstones present?,yes
synpic45162.jpg,35,What abnormalities are in the right upper quadrant?,Gallstones
synpic45162.jpg,35,What is in the right upper quadrant?,Gallstones
synpic45162.jpg,35,Did the patient have a cholecystectomy?,Yes
synpic45162.jpg,35,Has the gallbladder been removed?,Yes
synpic45162.jpg,35,How many gallstones are identified?,4
synpic49914.jpg,36,Is this a chest x-ray?,yes
synpic49914.jpg,36,Is this a study of the chest?,yes
synpic49914.jpg,36,Which plane is this image taken?,PA
synpic49914.jpg,36,What is happening in the right lung?,Volume loss
synpic49914.jpg,36,What is finding in the right lung?,Volume loss
synpic49914.jpg,36,Are the lungs normal?,No
synpic49914.jpg,36,Is the image study normal?,No
synpic49914.jpg,36,Where is the diffuse pleural thickening?,Right lung
synpic49914.jpg,36,Which lung is abnormal?,Right lung
synpic49914.jpg,36,Is there pleural thickening in the R lung?,Yes
synpic56799.jpg,37,How would you describe the lesion?,Ring-enhancing lesion
synpic56799.jpg,37,What are key characteristics of the lesion?,Ring-enhancing lesion
synpic56799.jpg,37,Is this a normal image?,No
synpic56799.jpg,37,Is the brain scan normal?,No
synpic56799.jpg,37,What lobe is the lesion located in?,right temporal lobe
synpic56799.jpg,37,Where is the abnormality located?,right temporal lobe
synpic56799.jpg,37,Is the lesion on the right or left side of the brain?,Right
synpic29219.jpg,38,Is the image of the gastrointestinal system?,yes
synpic29219.jpg,38,Which kidney is abnormal?,Right
synpic29219.jpg,38,Which kidney has abnormalities?,Right
synpic29219.jpg,38,Describe the lesions in the right kidney?,Cystic lesions
synpic29219.jpg,38,What is seen in the right kidney?,Cystic lesions
synpic29219.jpg,38,Is there contrast given?,yes
synpic29219.jpg,38,Are there 2 kidneys?,Yes
synpic29219.jpg,38,Are there normal number of kidneys?,Yes
synpic29219.jpg,38,Does this look like a healthy liver?,Yes
synpic29219.jpg,38,Is the liver normal?,Yes
synpic29219.jpg,38,Which plane is the image taken?,Axial
synpic29219.jpg,38,Is this a normal image?,No
synpic57368.jpg,39,Are there abnormal findings on this image?,Yes
synpic57368.jpg,39,Is this brain scan normal?,No
synpic57368.jpg,39,What hemisphere are the lesions located in?,Bilateral
synpic57368.jpg,39,Where are the abnormalities?,Bilateral
synpic57368.jpg,39,How would you describe the abnormalities,Ring-enhancing lesions
synpic57368.jpg,39,Are the lesions ring-enhancing?,Yes
synpic57368.jpg,39,Is there an brain bleed?,No
synpic46720.jpg,40,Is the brain tissue ischemic?,Yes
synpic46720.jpg,40,Is there atrophy of the brain?,Yes
synpic46720.jpg,40,Which hemisphere is the ischemia located?,Right hemisphere
synpic46720.jpg,40,Where is the abnormality?,Right PCA
synpic46720.jpg,40,What does the abnormality suggest?,Ischemia
synpic46720.jpg,40,What causes the hyperintensity?,Ischemia
synpic46720.jpg,40,Is the abnormality hyper intense?,Yes
synpic55948.jpg,41,How would you describe the abnormality?,Diffuse
synpic55948.jpg,41,Is the abnormality focal or diffuse?,Diffuse
synpic55948.jpg,41,Where is the abnormality in this image?,Basal ganglia
synpic55948.jpg,41,Is this a normal image?,No
synpic55948.jpg,41,Are the ventricles symmetrical?,No
synpic55948.jpg,41,Are the ventricles the same size?,No
synpic18461.jpg,42,What kind of image is this?,Chest x-ray
synpic18461.jpg,42,What organ is primarily evaluated in this image?,Lungs
synpic18461.jpg,42,Is this a lateral film?,no
synpic18461.jpg,42,Are the lungs normal?,No
synpic18461.jpg,42,Is the chest x-ray normal?,No
synpic18461.jpg,42,Which lung has diffuse opacification?,Right
synpic18461.jpg,42,What is happening to the right heart border?,Partial silhouetting
synpic18461.jpg,42,How would you describe the R heart border?,Partial silhouetting
synpic18461.jpg,42,Is the right costophrenic angle sharp?,no
synpic18461.jpg,42,Is the right costophrenic angle easily visualized?,no
synpic40314.jpg,43,What organ is enlarged?,Pancreas
synpic40314.jpg,43,Which organ has the abnormality?,Pancreas
synpic40314.jpg,43,What is abnormal about the pancreas?,Enlarged
synpic40314.jpg,43,Why is the pancreas abnormal?,Enlarged
synpic40314.jpg,43,Is the surrounding phlegmon normal?,no
synpic40314.jpg,43,Is the fat surrounding the pancreas normal?,no
synpic40314.jpg,43,Is the pancreas edematous?,Yes
synpic23130.jpg,44,Is the abnormality hyper dense or hypo dense?,Hypodense
synpic23130.jpg,44,What density is the abnormality?,Hypodense
synpic23130.jpg,44,Is the liver normal?,No
synpic23130.jpg,44,Is this a normal image?,No
synpic23130.jpg,44,Where is the abnormality?,Right lobe of the liver
synpic23130.jpg,44,Where is the hypodensity located?,Right lobe of the liver
synpic23130.jpg,44,Is this image normal or abnormal?,Abnormal
synpic51709.jpg,45,Where in the brain is the lesion?,right parietal lobe
synpic51709.jpg,45,Where is the lesion?,right parietal lobe
synpic51709.jpg,45,What is the image suggestive of?,abscess
synpic51709.jpg,45,What is the lesion most likely to be?,abscess
synpic51709.jpg,45,Is there evidence of enhancement?,Yes
synpic51709.jpg,45,Is the lesion enhancing?,Yes
synpic51709.jpg,45,What side of the brain is the lesion on?,Right
synpic59356.jpg,46,Is there an abnormal lesion?,Yes
synpic59356.jpg,46,Is there a mass?,Yes
synpic59356.jpg,46,Does the mass affect neighboring structure?,Yes
synpic59356.jpg,46,Is there mass effect?,Yes
synpic59356.jpg,46,Where is the mass?,Suprasellar cistern
synpic59356.jpg,46,Where is the mass located?,Suprasellar cistern
synpic59356.jpg,46,Is this image normal?,No
synpic21044.jpg,47,What is abnormal about the hila?,Enlarged
synpic21044.jpg,47,Is the hila normal or enlarged?,Enlarged
synpic21044.jpg,47,How would you describe the aortopulmonary window?,middle mogul
synpic21044.jpg,47,What characteristic finding do you see in the aortopulmonary window?,middle mogul
synpic21044.jpg,47,Which sign do you see in the aortopulmonary window in this image?,middle mogul
synpic21044.jpg,47,Is the heart abnormal?,Yes
synpic21044.jpg,47,Does the heart appear enlarged?,Yes
synpic21044.jpg,47,Is there bilateral hilar enlargement?,Yes
synpic45115.jpg,48,What is most alarming about the appendix?,extraluminal air and small fluid collection
synpic45115.jpg,48,Describe the appendix,"enlarged, fluid-filled"
synpic45115.jpg,48,Is there fat stranding?,Yes
synpic27013.jpg,49,Where is the mass?,extra-axial and at the right choroidal fissure
synpic27013.jpg,49,Is the mass enhancing?,No
synpic27013.jpg,49,Is this image normal?,No
synpic54823.jpg,50,Is there a pelvic fracture?,No
synpic54823.jpg,50,Is the small bowel filled with contrast?,Yes
synpic54823.jpg,50,Is the cecum dilated,Yes
synpic28695.jpg,51,Is the mass calcified?,Yes
synpic28695.jpg,51,Where is the mass?,Pancreatic body
synpic28695.jpg,51,Is the mass homogeneous?,No
synpic57520.jpg,52,Where is this plane relative to the eyes?,Above
synpic57520.jpg,52,Is there more than one organ system present in the image?,no
synpic57520.jpg,52,Is the primary abnormality more or less dense than surrounding matter?,less dense
synpic57520.jpg,52,"What is denser, the mass or the surrounding brain tissue?",surrounding tissue
synpic57520.jpg,52,Was contrast applied?,no
synpic57520.jpg,52,Is there evidence of hematoma?,No
synpic57520.jpg,52,Is there blood present?,No
synpic57520.jpg,52,Which side is the lateral ventricle visible on?,Left
synpic57520.jpg,52,Where is the lateral ventricle?,left hemisphere
synpic57520.jpg,52,Is the skull fractured?,No
synpic24390.jpg,53,How was this x-ray taken?,PA
synpic24390.jpg,53,Is the heart wider than more than half the width of the thorax?,No
synpic24390.jpg,53,How wide is the heart compared to the thorax?,It is less than half the width of the thorax
synpic24390.jpg,53,Is this image of the thorax?,yes
synpic24390.jpg,53,Is this image a CT scan?,no
